period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,,
,,,,,,,,5091.012317,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,104.2580287,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,99.11938071,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,110.1914019,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,104.1336246,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,109.6914019,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,94.42840035,,,,,
,,,,,0.001457988,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,109.6357411,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,103.607884,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,109.1357411,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,97.96037296,,,,
,,,,,,0.002938339,,,,
,,,,,,,,3310.24,,
,,,,,,,,107.5503754,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,101.510403,,,
,,,,,,,0.001560055,,,
,,,,,,,,2669.237081,,
,,,,,,,,106.5503754,,
,,,,,,,,0,,
,,,3686.342206,,,,,,,
,,,86.58101309,,,,,,,
,,,0.004182623,,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,108.3775275,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,102.5418243,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,108.3775275,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,97.48720305,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,108.3775275,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,102.4174202,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,107.8775275,,
,,,,,,,,0,,
,,,,,3686.342206,,,,,
,,,,,92.45901266,,,,,
,,,,,0.003168241,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,106.710545,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,100.5913902,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,105.210545,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
,,,,,,94.96865347,,,,
,,,,,,0.003566691,,,,
,,,,,,,,3310.24,,
,,,,,,,,103.6251793,,
,,,,,,,,0,,
,,,,,,,2972.509942,,,
,,,,,,,98.04537129,,,
,,,,,,,0,,,
,,,,,,,,2669.237081,,
,,,,,,,,103.6251793,,
,,,,,,,,0,,
,,,,3310.24,,,,,,
,,,,87.66809644,,,,,,
,,,,0.005140255,,,,,,
,,,,,,,,4105.176319,,
,,,,,,,,104.96714,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,98.94186065,,,
,,,,,,,0.001886944,,,
,,,,,,,,3310.24,,
,,,,,,,,103.46714,,
,,,,,,,,0,,
,,,,,,3310.24,,,,
